Date,Est. earnings (USD),Observed eCPM (USD),Requests,Match rate (%) (%),Matched requests,Show rate (%) (%),Impressions,CTR (%) (%),Clicks,Bid requests,Bids in auction (%),Bids in auction,Winning bids (%),Winning bids
2021-03-28,$0.70,6.64,716,99.02%,709,14.95%,106,0.00%,0,0,,0,,0
2021-03-29,$0.85,4.08,628,99.84%,627,33.17%,208,1.92%,4,0,,0,,0
2021-03-30,$0.76,3.51,802,100.00%,802,26.81%,215,2.79%,6,0,,0,,0
2021-03-31,$0.57,4.51,601,98.67%,593,21.42%,127,3.15%,4,0,,0,,0
2021-04-01,$0.90,8.09,562,99.29%,558,19.89%,111,7.21%,8,0,,0,,0
2021-04-02,$0.94,8.68,535,98.69%,528,20.45%,108,0.00%,0,0,,0,,0
2021-04-03,$0.53,4.27,604,100.00%,604,20.36%,123,0.00%,0,0,,0,,0
2021-04-04,$0.87,24.24,497,99.40%,494,7.29%,36,5.56%,2,0,,0,,0
2021-04-05,$0.90,12.64,520,100.00%,520,13.65%,71,1.41%,1,0,,0,,0
2021-04-06,$0.54,12.91,539,99.63%,537,7.82%,42,0.00%,0,0,,0,,0
2021-04-07,$0.52,7.56,557,100.00%,557,12.39%,69,14.49%,10,0,,0,,0
2021-04-08,$1.39,18.08,541,100.00%,541,14.23%,77,3.90%,3,0,,0,,0
2021-04-09,$1.43,16.84,572,97.55%,558,15.23%,85,1.18%,1,0,,0,,0
2021-04-10,$1.40,26.42,586,100.00%,586,9.04%,53,11.32%,6,0,,0,,0
2021-04-11,$1.01,16.32,625,99.36%,621,9.98%,62,0.00%,0,0,,0,,0
2021-04-12,$0.73,4.42,804,97.26%,782,21.23%,166,1.81%,3,0,,0,,0
2021-04-13,$1.06,10.01,672,98.51%,662,16.01%,106,28.30%,30,0,,0,,0
2021-04-14,$1.00,5.92,743,100.00%,743,22.75%,169,2.96%,5,0,,0,,0
2021-04-15,$0.73,6.87,662,99.70%,660,16.21%,107,2.80%,3,0,,0,,0
2021-04-16,$0.66,5.25,699,99.86%,698,18.05%,126,3.97%,5,0,,0,,0
2021-04-17,$1.00,7.64,805,99.88%,804,16.29%,131,3.05%,4,0,,0,,0
2021-04-18,$1.14,3.83,1042,98.08%,1022,29.16%,298,2.68%,8,0,,0,,0
2021-04-19,$0.36,3.92,572,99.83%,571,15.94%,91,2.20%,2,0,,0,,0
2021-04-20,$1.07,4.44,695,99.14%,689,35.12%,242,2.48%,6,0,,0,,0
2021-04-21,$0.65,6.46,525,100.00%,525,19.05%,100,11.00%,11,0,,0,,0
2021-04-22,$0.66,4.86,574,98.26%,564,23.94%,135,0.00%,0,0,,0,,0
2021-04-23,$0.57,4.14,622,98.39%,612,22.39%,137,1.46%,2,0,,0,,0
2021-04-24,$0.38,2.35,616,99.68%,614,26.55%,163,3.07%,5,0,,0,,0
2021-04-25,$0.25,1.95,566,97.53%,552,23.55%,130,3.08%,4,0,,0,,0
2021-04-26,$0.56,4.57,526,98.86%,520,23.46%,122,4.10%,5,0,,0,,0
2021-04-27,$0.57,5.36,485,98.35%,477,22.43%,107,0.00%,0,0,,0,,0
2021-04-28,$0.36,3.53,508,100.00%,508,20.08%,102,8.82%,9,0,,0,,0
2021-04-29,$0.40,2.91,572,98.78%,565,24.25%,137,1.46%,2,0,,0,,0
2021-04-30,$0.42,4.18,436,99.08%,432,23.15%,100,1.00%,1,0,,0,,0
2021-05-01,$0.69,6.03,470,99.57%,468,24.57%,115,4.35%,5,0,,0,,0
2021-05-02,$0.72,5.78,534,99.44%,531,23.35%,124,1.61%,2,0,,0,,0
2021-05-03,$0.61,5.46,481,100.00%,481,23.08%,111,3.60%,4,0,,0,,0
2021-05-04,$0.53,4.77,439,100.00%,439,25.51%,112,2.68%,3,0,,0,,0
2021-05-05,$0.48,8.48,516,100.00%,516,11.05%,57,15.79%,9,0,,0,,0
2021-05-06,$0.29,12.62,436,100.00%,436,5.28%,23,52.17%,12,0,,0,,0
2021-05-07,$0.18,3.17,404,99.26%,401,14.21%,57,0.00%,0,0,,0,,0
2021-05-08,$0.62,10.47,486,99.59%,484,12.19%,59,3.39%,2,0,,0,,0
2021-05-09,$0.43,3.8,495,98.38%,487,23.20%,113,2.65%,3,0,,0,,0
2021-05-10,$0.69,7.54,474,99.58%,472,19.49%,92,4.35%,4,0,,0,,0
2021-05-11,$1.12,7.16,602,100.00%,602,25.91%,156,3.85%,6,0,,0,,0
2021-05-12,$0.85,4.78,626,99.52%,623,28.41%,177,7.34%,13,0,,0,,0
2021-05-13,$0.50,7.28,486,100.00%,486,13.99%,68,1.47%,1,0,,0,,0
2021-05-14,$0.38,4.92,535,99.63%,533,14.45%,77,1.30%,1,0,,0,,0
2021-05-15,$1.32,28.7,1193,50.88%,607,7.58%,46,0.00%,0,0,,0,,0
2021-05-16,$0.79,5.64,1012,99.90%,1011,13.85%,140,2.86%,4,0,,0,,0
2021-05-17,$0.85,10.37,811,100.00%,811,10.11%,82,2.44%,2,0,,0,,0
2021-05-18,$0.43,6.39,788,100.00%,788,8.63%,68,4.41%,3,0,,0,,0
2021-05-19,$0.30,2.88,997,100.00%,997,10.53%,105,0.95%,1,0,,0,,0
2021-05-20,$0.38,5.57,1058,99.91%,1057,6.43%,68,2.94%,2,0,,0,,0
2021-05-21,$0.39,8.97,859,94.53%,812,5.42%,44,0.00%,0,0,,0,,0
2021-05-22,$0.56,4.52,1110,100.00%,1110,11.08%,123,6.50%,8,0,,0,,0
2021-05-23,$0.17,1.91,952,99.58%,948,9.60%,91,0.00%,0,0,,0,,0
2021-05-24,$0.43,3.94,1003,99.90%,1002,10.78%,108,1.85%,2,0,,0,,0
2021-05-25,$0.64,5.8,944,99.89%,943,11.77%,111,1.80%,2,0,,0,,0
2021-05-26,$0.84,4.42,1501,99.80%,1498,12.75%,191,3.14%,6,0,,0,,0
2021-05-27,$0.53,2.78,1302,100.00%,1302,14.75%,192,0.52%,1,0,,0,,0
2021-05-28,$1.41,13.59,1104,99.64%,1100,9.45%,104,7.69%,8,0,,0,,0
2021-05-29,$0.55,4.17,1118,99.91%,1117,11.73%,131,3.05%,4,0,,0,,0
2021-05-30,$0.41,2.84,1169,100.00%,1169,12.23%,143,0.00%,0,0,,0,,0
2021-05-31,$0.37,3.96,1206,98.76%,1191,7.89%,94,2.13%,2,0,,0,,0
2021-06-01,$0.85,8.1,1047,99.62%,1043,10.07%,105,1.90%,2,0,,0,,0
2021-06-02,$1.40,9.94,1346,99.48%,1339,10.53%,141,2.84%,4,0,,0,,0
2021-06-03,$0.61,6,1267,100.00%,1267,8.05%,102,0.98%,1,0,,0,,0
2021-06-04,$0.84,8.24,1916,99.74%,1911,5.34%,102,3.92%,4,0,,0,,0
2021-06-05,$0.79,9.66,1295,100.00%,1295,6.33%,82,1.22%,1,0,,0,,0
2021-06-06,$0.49,3.82,1451,100.00%,1451,8.75%,127,1.57%,2,0,,0,,0
2021-06-07,$0.74,6.72,1757,93.17%,1637,6.72%,110,0.00%,0,0,,0,,0
2021-06-08,$0.36,5.29,2427,96.09%,2332,2.96%,69,2.90%,2,0,,0,,0
2021-06-09,$0.89,8.54,1242,99.84%,1240,8.39%,104,5.77%,6,0,,0,,0
2021-06-10,$0.60,9.23,1295,99.69%,1291,5.03%,65,1.54%,1,0,,0,,0
2021-06-11,$1.33,14.15,1310,100.00%,1310,7.18%,94,5.32%,5,0,,0,,0
2021-06-12,$0.67,5.77,1325,99.47%,1318,8.88%,117,1.71%,2,0,,0,,0
2021-06-13,$1.23,7.33,1879,100.00%,1879,8.94%,168,5.95%,10,0,,0,,0
2021-06-14,$0.72,5.16,3087,47.62%,1470,9.46%,139,0.72%,1,0,,0,,0
2021-06-15,$1.03,9.63,1492,94.24%,1406,7.61%,107,1.87%,2,0,,0,,0
2021-06-16,$0.55,6.09,1206,97.84%,1180,7.63%,90,5.56%,5,0,,0,,0
2021-06-17,$0.95,11.2,1221,99.43%,1214,7.00%,85,2.35%,2,0,,0,,0
2021-06-18,$0.62,10.47,1314,100.00%,1314,4.49%,59,0.00%,0,0,,0,,0
2021-06-19,$0.81,10.27,1548,84.30%,1305,6.05%,79,0.00%,0,0,,0,,0
2021-06-20,$0.75,7.77,1425,99.86%,1423,6.82%,97,2.06%,2,0,,0,,0
2021-06-21,$0.65,7.07,1753,83.63%,1466,6.28%,92,6.52%,6,0,,0,,0
2021-06-22,$0.69,6.84,1201,99.25%,1192,8.47%,101,14.85%,15,0,,0,,0
2021-06-23,$0.44,6.1,1163,99.40%,1156,6.23%,72,1.39%,1,0,,0,,0
2021-06-24,$0.69,5.43,1346,98.51%,1326,9.58%,127,0.00%,0,0,,0,,0
2021-06-25,$0.69,7.45,1589,100.00%,1589,5.85%,93,1.08%,1,0,,0,,0
2021-06-26,$0.54,5.44,1273,99.14%,1262,7.92%,100,0.00%,0,0,,0,,0
2021-06-27,$0.76,5.99,1589,99.62%,1583,8.02%,127,0.79%,1,0,,0,,0
2021-06-28,$1.09,10.59,1527,98.76%,1508,6.83%,103,1.94%,2,0,,0,,0
2021-06-29,$0.57,2.53,1779,99.94%,1778,12.77%,227,1.76%,4,0,,0,,0
2021-06-30,$0.74,7.84,2013,99.95%,2012,4.67%,94,2.13%,2,0,,0,,0
2021-07-01,$0.54,3.65,1589,98.24%,1561,9.42%,147,0.68%,1,0,,0,,0
2021-07-02,$3.67,19.96,1698,99.94%,1697,10.84%,184,4.35%,8,0,,0,,0
2021-07-03,$1.24,9.2,1687,99.70%,1682,8.03%,135,5.19%,7,0,,0,,0
2021-07-04,$2.33,12.46,1824,99.45%,1814,10.31%,187,4.81%,9,0,,0,,0
2021-07-05,$2.17,12.19,2029,99.75%,2024,8.79%,178,1.12%,2,0,,0,,0
2021-07-06,$1.14,8.54,1794,99.78%,1790,7.43%,133,0.75%,1,0,,0,,0
2021-07-07,$1.41,8.58,1957,98.82%,1934,8.53%,165,3.64%,6,0,,0,,0
2021-07-08,$0.95,9.1,1573,98.60%,1551,6.71%,104,7.69%,8,0,,0,,0
2021-07-09,$0.90,6.54,1602,100.00%,1602,8.61%,138,0.00%,0,0,,0,,0
2021-07-10,$1.64,12.68,1659,100.00%,1659,7.78%,129,3.88%,5,0,,0,,0
2021-07-11,$1.37,10.5,1478,99.86%,1476,8.81%,130,4.62%,6,0,,0,,0
2021-07-12,$0.18,2.21,1601,100.00%,1601,5.06%,81,0.00%,0,0,,0,,0
2021-07-13,$0.18,2.24,1308,100.00%,1308,6.27%,82,1.22%,1,0,,0,,0
2021-07-14,$0.51,4.4,1531,100.00%,1531,7.51%,115,4.35%,5,0,,0,,0
2021-07-15,$0.60,3.19,1982,99.90%,1980,9.55%,189,0.53%,1,0,,0,,0
2021-07-16,$0.71,4.43,1543,99.81%,1540,10.45%,161,2.48%,4,0,,0,,0
2021-07-17,$0.30,7.22,2613,60.35%,1577,2.66%,42,2.38%,1,0,,0,,0
2021-07-18,$0.98,19.5,1650,100.00%,1650,3.03%,50,4.00%,2,0,,0,,0
2021-07-19,$0.92,10.67,2530,99.96%,2529,3.40%,86,4.65%,4,0,,0,,0
2021-07-20,$0.65,14.06,1730,99.31%,1718,2.68%,46,2.17%,1,0,,0,,0
2021-07-21,$0.63,11.47,1777,99.89%,1775,3.10%,55,9.09%,5,0,,0,,0
2021-07-22,$0.70,9.25,1757,100.00%,1757,4.33%,76,0.00%,0,0,,0,,0
2021-07-23,$1.03,10.23,1618,99.13%,1604,6.30%,101,8.91%,9,0,,0,,0
2021-07-24,$1.08,14.99,1586,99.31%,1575,4.57%,72,25.00%,18,0,,0,,0
2021-07-25,$0.34,4.49,2597,88.18%,2290,3.32%,76,1.32%,1,0,,0,,0
2021-07-26,$2.85,42.6,2128,100.00%,2128,3.15%,67,2.99%,2,0,,0,,0
2021-07-27,$1.24,22.63,1507,99.14%,1494,3.68%,55,3.64%,2,0,,0,,0
2021-07-28,$0.47,8.47,1531,99.80%,1528,3.60%,55,3.64%,2,0,,0,,0
2021-07-29,$0.47,5.29,1668,99.88%,1666,5.28%,88,1.14%,1,0,,0,,0
2021-07-30,$0.38,11.52,1664,99.94%,1663,1.98%,33,0.00%,0,0,,0,,0
2021-07-31,$0.72,7.31,1861,99.95%,1860,5.32%,99,2.02%,2,0,,0,,0
2021-08-01,$0.36,7.32,1611,99.81%,1608,3.05%,49,14.29%,7,0,,0,,0
2021-08-02,$0.88,13.41,1350,100.00%,1350,4.89%,66,16.67%,11,0,,0,,0
2021-08-03,$1.12,22.36,1623,98.46%,1598,3.13%,50,6.00%,3,0,,0,,0
2021-08-04,$0.46,7.32,1694,100.00%,1694,3.72%,63,9.52%,6,0,,0,,0
2021-08-05,$0.53,11.37,1511,99.14%,1498,3.14%,47,0.00%,0,0,,0,,0
2021-08-06,$0.86,13.46,1533,87.87%,1347,4.75%,64,9.38%,6,0,,0,,0
2021-08-07,$1.62,24.93,1683,100.00%,1683,3.86%,65,3.08%,2,0,,0,,0
2021-08-08,$1.88,29.41,1897,99.89%,1895,3.38%,64,23.44%,15,0,,0,,0
2021-08-09,$0.97,4.35,2017,100.00%,2017,11.11%,224,0.89%,2,0,,0,,1075
2021-08-10,$0.93,4.94,1830,99.73%,1825,10.36%,189,2.12%,4,0,,0,,1825
2021-08-11,$0.83,14.52,1465,99.86%,1463,3.90%,57,7.02%,4,0,,0,,1463
2021-08-12,$1.45,20.73,1664,100.00%,1664,4.21%,70,22.86%,16,0,,0,,1664
2021-08-13,$0.94,7.87,1728,99.48%,1719,6.92%,119,1.68%,2,0,,0,,1719
2021-08-14,$0.54,2.39,2040,99.51%,2030,11.08%,225,0.89%,2,0,,0,,2030
2021-08-15,$0.93,6.81,1909,99.95%,1908,7.18%,137,5.84%,8,0,,0,,1908
2021-08-16,$1.05,6.79,2091,99.90%,2089,7.42%,155,4.52%,7,0,,0,,2089
2021-08-17,$0.70,9.09,1641,99.76%,1637,4.70%,77,1.30%,1,0,,0,,1637
2021-08-18,$1.24,7.91,1837,99.89%,1835,8.56%,157,24.84%,39,0,,0,,1835
2021-08-19,$1.22,14.3,1826,100.00%,1826,4.65%,85,4.71%,4,0,,0,,1826
2021-08-20,$0.81,7.63,2065,99.95%,2064,5.14%,106,6.60%,7,0,,0,,2064
2021-08-21,$1.13,5.96,2191,100.00%,2191,8.63%,189,5.82%,11,0,,0,,2191
2021-08-22,$0.86,3.48,1887,99.89%,1885,13.10%,247,2.83%,7,0,,0,,1885
2021-08-23,$0.44,8,1643,99.94%,1642,3.35%,55,7.27%,4,0,,0,,1642
2021-08-24,$0.73,3.78,1861,100.00%,1861,10.32%,192,4.69%,9,0,,0,,1861
2021-08-25,$0.87,5.72,1826,100.00%,1826,8.38%,153,3.27%,5,0,,0,,1826
2021-08-26,$0.61,3.1,1867,99.89%,1865,10.56%,197,6.60%,13,0,,0,,1865
2021-08-27,$0.55,1.99,2177,100.00%,2177,12.82%,279,9.32%,26,0,,0,,2177
2021-08-28,$0.42,5.17,1798,100.00%,1798,4.56%,82,6.10%,5,0,,0,,1798
2021-08-29,$0.73,3.66,2102,100.00%,2102,9.42%,198,6.57%,13,0,,0,,2102
2021-08-30,$0.50,6.22,2887,100.00%,2887,2.81%,81,7.41%,6,0,,0,,2887
2021-08-31,$0.39,2.19,1620,99.69%,1615,11.08%,179,1.68%,3,0,,0,,1615
2021-09-01,$0.56,7.11,1815,100.00%,1815,4.35%,79,18.99%,15,0,,0,,1815
2021-09-02,$0.60,8.42,1808,100.00%,1808,3.93%,71,8.45%,6,0,,0,,1808
2021-09-03,$0.43,5.32,1687,100.00%,1687,4.74%,80,6.25%,5,0,,0,,1687
2021-09-04,$0.84,11.49,1534,99.93%,1533,4.76%,73,6.85%,5,0,,0,,1533
2021-09-05,$1.28,13.3,1616,100.00%,1616,5.94%,96,12.50%,12,0,,0,,1616
2021-09-06,$0.52,6.7,1632,100.00%,1632,4.78%,78,16.67%,13,0,,0,,1632
2021-09-07,$0.44,3.64,1632,100.00%,1632,7.41%,121,3.31%,4,0,,0,,1632
2021-09-08,$1.01,18.05,2111,100.00%,2111,2.65%,56,7.14%,4,0,,0,,2111
2021-09-09,$0.49,7.15,1552,99.87%,1550,4.39%,68,0.00%,0,0,,0,,1550
2021-09-10,$0.76,6.89,2778,100.00%,2778,3.96%,110,1.82%,2,0,,0,,2778
2021-09-11,$1.14,6.88,1681,100.00%,1681,9.82%,165,3.03%,5,0,,0,,1681
2021-09-12,$1.37,17.11,1863,100.00%,1863,4.29%,80,11.25%,9,0,,0,,1863
2021-09-13,$1.69,14.67,3116,76.41%,2381,4.83%,115,1.74%,2,0,,0,,2381
2021-09-14,$1.51,16.22,1711,99.65%,1705,5.45%,93,10.75%,10,0,,0,,1705
2021-09-15,$0.97,11.74,2961,65.72%,1946,4.27%,83,3.61%,3,0,,0,,1946
2021-09-16,$0.63,7.91,2545,98.78%,2514,3.18%,80,5.00%,4,0,,0,,2514
2021-09-17,$0.33,4.85,1692,100.00%,1692,4.02%,68,4.41%,3,0,,0,,1692
2021-09-18,$0.44,6.33,1610,99.81%,1607,4.36%,70,0.00%,0,0,,0,,1607
2021-09-19,$1.07,14.05,1732,99.94%,1731,4.39%,76,7.89%,6,0,,0,,1731
2021-09-20,$0.81,15.34,1797,99.44%,1787,2.97%,53,9.43%,5,0,,0,,1787
2021-09-21,$0.73,14.4,1578,99.75%,1574,3.24%,51,3.92%,2,0,,0,,1574
2021-09-22,$1.10,17,2447,99.96%,2446,2.66%,65,4.62%,3,0,,0,,2446
2021-09-23,$1.45,20.95,1572,99.94%,1571,4.39%,69,2.90%,2,0,,0,,1571
2021-09-24,$0.73,14.98,1843,99.95%,1842,2.66%,49,12.24%,6,0,,0,,1842
2021-09-25,$0.38,6.93,1663,100.00%,1663,3.31%,55,3.64%,2,0,,0,,1663
2021-09-26,$0.84,16.71,1976,100.00%,1976,2.53%,50,10.00%,5,0,,0,,1976
2021-09-27,$0.54,4.42,1847,100.00%,1847,6.66%,123,1.63%,2,0,,0,,1847
2021-09-28,$0.94,6.17,2785,100.00%,2785,5.49%,153,2.61%,4,0,,0,,2785
2021-09-29,$1.44,10.93,1904,100.00%,1904,6.93%,132,2.27%,3,0,,0,,1904
2021-09-30,$0.75,3.92,1822,100.00%,1822,10.54%,192,2.08%,4,0,,0,,1822
2021-10-01,$0.87,6.47,1736,99.88%,1734,7.73%,134,6.72%,9,0,,0,,1734
2021-10-02,$0.83,8.46,1938,100.00%,1938,5.06%,98,6.12%,6,0,,0,,1938
2021-10-03,$0.40,2.59,1527,100.00%,1527,10.02%,153,2.61%,4,0,,0,,1527
2021-10-04,$0.73,4.89,2538,100.00%,2538,5.91%,150,6.67%,10,0,,0,,2538
2021-10-05,$1.21,10.11,1364,100.00%,1364,8.80%,120,3.33%,4,0,,0,,1364
2021-10-06,$0.70,5.42,1500,100.00%,1500,8.67%,130,2.31%,3,0,,0,,1500
2021-10-07,$1.24,7.81,1778,99.94%,1777,8.95%,159,3.77%,6,0,,0,,1777
2021-10-08,$0.68,2.57,1703,100.00%,1703,15.56%,265,1.51%,4,0,,0,,1703
2021-10-09,$0.84,3.15,1771,99.94%,1770,14.97%,265,1.51%,4,0,,0,,1770
2021-10-10,$0.79,4.3,2348,100.00%,2348,7.88%,185,1.62%,3,0,,0,,2348
2021-10-11,$0.72,10.84,1456,100.00%,1456,4.53%,66,15.15%,10,0,,0,,1456
2021-10-12,$1.36,15.08,1978,100.00%,1978,4.55%,90,7.78%,7,0,,0,,1978
2021-10-13,$0.83,7,1866,100.00%,1866,6.32%,118,3.39%,4,0,,0,,1866
2021-10-14,$0.89,7.43,1506,100.00%,1506,7.97%,120,9.17%,11,0,,0,,1506
2021-10-15,$1.17,6.5,1604,98.44%,1579,11.40%,180,7.22%,13,0,,0,,1579
2021-10-16,$0.95,8.54,1732,100.00%,1732,6.41%,111,9.91%,11,0,,0,,1732
2021-10-17,$0.76,6.8,1555,100.00%,1555,7.20%,112,11.61%,13,0,,0,,1555
2021-10-18,$1.24,9.5,2037,100.00%,2037,6.38%,130,6.15%,8,0,,0,,2037
2021-10-19,$0.93,6,1584,100.00%,1584,9.79%,155,6.45%,10,0,,0,,1584
2021-10-20,$0.71,6.99,1257,100.00%,1257,8.11%,102,3.92%,4,0,,0,,1257
2021-10-21,$1.04,5.53,1509,100.00%,1509,12.52%,189,11.64%,22,0,,0,,1509
2021-10-22,$1.40,11.86,1532,99.93%,1531,7.71%,118,11.86%,14,0,,0,,1531
2021-10-23,$0.49,4.66,1882,100.00%,1882,5.63%,106,0.94%,1,0,,0,,1882
2021-10-24,$0.62,3.69,1649,100.00%,1649,10.13%,167,3.59%,6,0,,0,,1649
2021-10-25,$0.86,3.26,1683,100.00%,1683,15.75%,265,3.02%,8,0,,0,,1683
2021-10-26,$1.18,6.27,1473,100.00%,1473,12.76%,188,5.32%,10,0,,0,,1473
2021-10-27,$0.58,2.22,1871,100.00%,1871,14.00%,262,0.00%,0,0,,0,,1871
2021-10-28,$1.24,4.33,2264,100.00%,2264,12.68%,287,3.14%,9,0,,0,,2264
2021-10-29,$0.89,5.33,1630,100.00%,1630,10.25%,167,5.39%,9,0,,0,,1630
2021-10-30,$0.78,5.3,1603,99.94%,1602,9.18%,147,4.76%,7,0,,0,,1602
2021-10-31,$1.22,4.28,2239,100.00%,2239,12.73%,285,2.11%,6,0,,0,,2239
2021-11-01,$0.66,3,1808,100.00%,1808,12.17%,220,2.27%,5,0,,0,,1808
2021-11-02,$0.85,2.96,1740,99.94%,1739,16.45%,286,4.20%,12,0,,0,,1739
2021-11-03,$0.71,3.3,2301,99.96%,2300,9.30%,214,1.40%,3,0,,0,,2300
2021-11-04,$1.63,5.57,1862,100.00%,1862,15.68%,292,2.74%,8,0,,0,,1862
2021-11-05,$0.88,5.23,2090,100.00%,2090,8.04%,168,4.17%,7,0,,0,,2090
2021-11-06,$1.01,6.64,2029,99.85%,2026,7.50%,152,4.61%,7,0,,0,,2026
2021-11-07,$1.36,13.08,1617,99.94%,1616,6.44%,104,7.69%,8,0,,0,,1616
2021-11-08,$0.78,4.83,1856,100.00%,1856,8.67%,161,3.73%,6,0,,0,,1856
2021-11-09,$1.13,5.04,1664,100.00%,1664,13.46%,224,4.02%,9,0,,0,,1664
2021-11-10,$0.78,3.18,1868,100.00%,1868,13.17%,246,1.22%,3,0,,0,,1868
2021-11-11,$0.61,5.38,1459,100.00%,1459,7.75%,113,2.65%,3,0,,0,,1459
2021-11-12,$0.74,4.39,1545,99.29%,1534,11.02%,169,4.14%,7,0,,0,,1534
2021-11-13,$0.80,3.85,2042,99.66%,2035,10.17%,207,4.83%,10,0,,0,,2035
2021-11-14,$1.41,6.49,2260,99.07%,2239,9.69%,217,4.61%,10,0,,0,,2239
2021-11-15,$0.78,7.19,1671,100.00%,1671,6.52%,109,3.67%,4,0,,0,,1671
2021-11-16,$0.56,3.87,1625,99.88%,1623,8.93%,145,5.52%,8,0,,0,,1623
2021-11-17,$1.01,9,1629,100.00%,1629,6.88%,112,10.71%,12,0,,0,,1629
2021-11-18,$1.41,7.43,1812,99.78%,1808,10.51%,190,2.11%,4,0,,0,,1808
2021-11-19,$0.45,3.91,1449,99.93%,1448,8.01%,116,0.86%,1,0,,0,,1448
2021-11-20,$0.51,2.51,1355,100.00%,1355,14.98%,203,2.46%,5,0,,0,,1355
2021-11-21,$1.09,3.97,1877,99.73%,1872,14.69%,275,5.45%,15,0,,0,,1872
2021-11-22,$0.63,3.16,1803,99.89%,1801,11.10%,200,3.00%,6,0,,0,,1801
2021-11-23,$0.25,1.46,1721,99.83%,1718,9.90%,170,2.35%,4,0,,0,,1718
2021-11-24,$0.60,6.21,1444,100.00%,1444,6.65%,96,2.08%,2,0,,0,,1444
2021-11-25,$0.46,2.95,1818,99.72%,1813,8.66%,157,2.55%,4,0,,0,,1813
2021-11-26,$0.25,2.61,1464,99.80%,1461,6.64%,97,1.03%,1,0,,0,,1461
2021-11-27,$1.34,6.55,1883,99.95%,1882,10.84%,204,7.35%,15,0,,0,,1882
2021-11-28,$1.05,4.2,2419,99.96%,2418,10.34%,250,3.20%,8,0,,0,,2418
2021-11-29,$0.73,6.18,1630,100.00%,1630,7.24%,118,7.63%,9,0,,0,,1630
2021-11-30,$0.65,3.18,1817,99.56%,1809,11.28%,204,4.41%,9,0,,0,,1809
2021-12-01,$0.80,9.07,1532,99.61%,1526,5.77%,88,6.82%,6,0,,0,,1526
2021-12-02,$0.74,4.76,1792,99.11%,1776,8.78%,156,3.21%,5,0,,0,,1776
2021-12-03,$0.82,7.57,2734,99.38%,2717,3.97%,108,10.19%,11,0,,0,,2717
2021-12-04,$0.57,5.83,1687,98.52%,1662,5.90%,98,6.12%,6,0,,0,,1662
2021-12-05,$1.37,5.36,2050,99.46%,2039,12.51%,255,1.57%,4,0,,0,,2039
2021-12-06,$0.67,3.78,1916,99.43%,1905,9.29%,177,4.52%,8,0,,0,,1905
2021-12-07,$1.01,6.1,1762,89.78%,1582,10.49%,166,6.02%,10,0,,0,,1582
2021-12-08,$0.32,1.33,2323,99.96%,2322,10.21%,237,1.69%,4,0,,0,,2322
2021-12-09,$1.03,5.83,2002,99.45%,1991,8.89%,177,1.13%,2,0,,0,,1991
2021-12-10,$0.62,7.35,1496,99.87%,1494,5.62%,84,1.19%,1,0,,0,,1494
2021-12-11,$0.59,6.32,1736,99.88%,1734,5.42%,94,5.32%,5,0,,0,,1734
2021-12-12,$0.75,9.95,2442,81.24%,1984,3.78%,75,12.00%,9,0,,0,,1984
2021-12-13,$0.33,5.2,1925,99.95%,1924,3.33%,64,53.12%,34,0,,0,,1924
2021-12-14,$0.32,2.98,1509,99.80%,1506,7.17%,108,8.33%,9,0,,0,,1506
2021-12-15,$0.77,8.16,1702,100.00%,1702,5.52%,94,7.45%,7,0,,0,,1702
2021-12-16,$0.28,3.06,2271,100.00%,2271,4.01%,91,5.49%,5,0,,0,,2271
2021-12-17,$0.76,6.94,1600,99.88%,1598,6.82%,109,6.42%,7,0,,0,,1598
2021-12-18,$0.74,9.58,1832,100.00%,1832,4.20%,77,7.79%,6,0,,0,,1832
2021-12-19,$0.95,8.99,1589,100.00%,1589,6.67%,106,4.72%,5,0,,0,,1589
2021-12-20,$0.67,5.81,1513,99.67%,1508,7.69%,116,8.62%,10,0,,0,,1508
2021-12-21,$0.90,5.44,2771,97.08%,2690,6.17%,166,19.28%,32,0,,0,,2690
2021-12-22,$1.52,11.71,2044,99.95%,2043,6.36%,130,6.15%,8,0,,0,,2043
2021-12-23,$0.70,2.07,1973,99.85%,1970,17.16%,338,5.62%,19,0,,0,,1970
2021-12-24,$0.80,3.33,1728,99.88%,1726,14.02%,242,3.72%,9,0,,0,,1726
2021-12-25,$0.53,3.74,1751,100.00%,1751,8.05%,141,4.26%,6,0,,0,,1751
2021-12-26,$0.89,5.71,1553,100.00%,1553,10.05%,156,7.05%,11,0,,0,,1553
2021-12-27,$0.57,3.04,1640,99.94%,1639,11.47%,188,2.13%,4,0,,0,,1639
2021-12-28,$1.15,3.63,1823,99.95%,1822,17.34%,316,3.16%,10,0,,0,,1822
2021-12-29,$0.62,6.5,1690,100.00%,1690,5.62%,95,5.26%,5,0,,0,,1690
2021-12-30,$1.12,5.98,1792,99.16%,1777,10.58%,188,1.06%,2,0,,0,,1777
2021-12-31,$0.61,3.42,1446,99.93%,1445,12.25%,177,6.21%,11,0,,0,,1445
2022-01-01,$0.43,2.07,1779,99.83%,1776,11.82%,210,2.38%,5,0,,0,,1776
2022-01-02,$1.13,5.35,1642,98.66%,1620,13.09%,212,4.72%,10,0,,0,,1620
2022-01-03,$0.58,2.82,1575,100.00%,1575,13.14%,207,5.31%,11,0,,0,,1575
