Date,Est. earnings (USD),Observed eCPM (USD),Requests,Match rate (%) (%),Matched requests,Show rate (%) (%),Impressions,CTR (%) (%),Clicks,Bid requests,Bids in auction (%),Bids in auction,Winning bids (%),Winning bids
2023-06-01,$0.88,9.3,1086,98.07%,1065,8.92%,95,1.05%,1,1086,98.07%,1065,100.00%,1065
2023-06-02,$1.27,7.41,1644,82.42%,1355,12.69%,172,3.49%,6,1644,82.54%,1357,99.85%,1355
2023-06-03,$1.95,14.37,2196,55.28%,1214,11.20%,136,2.94%,4,2196,55.28%,1214,100.00%,1214
2023-06-04,$1.54,8.83,2509,63.45%,1592,10.93%,174,4.60%,8,2509,63.45%,1592,100.00%,1592
2023-06-05,$2.18,12.39,1858,78.63%,1461,12.05%,176,10.80%,19,1858,78.63%,1461,100.00%,1461
2023-06-06,$1.76,15.83,1761,83.53%,1471,7.55%,111,9.91%,11,1761,83.53%,1471,100.00%,1471
2023-06-07,$2.26,15.94,1261,93.50%,1179,12.04%,142,2.82%,4,1261,93.50%,1179,100.00%,1179
2023-06-08,$1.87,16.42,3911,31.76%,1242,9.18%,114,6.14%,7,3911,31.76%,1242,100.00%,1242
2023-06-09,$2.50,16.1,1843,84.10%,1550,10.00%,155,10.32%,16,1843,84.10%,1550,100.00%,1550
2023-06-10,$1.87,10.04,1244,100.00%,1244,14.95%,186,8.06%,15,1244,100.00%,1244,100.00%,1244
2023-06-11,$2.77,18.32,1682,97.03%,1632,9.25%,151,1.32%,2,1682,97.03%,1632,100.00%,1632
2023-06-12,$1.51,9.14,1480,81.62%,1208,13.66%,165,4.24%,7,1480,81.62%,1208,100.00%,1208
2023-06-13,$2.15,14.06,1534,90.68%,1391,11.00%,153,13.07%,20,1534,90.68%,1391,100.00%,1391
2023-06-14,$7.09,31.64,1679,99.34%,1668,13.43%,224,4.46%,10,1679,99.34%,1668,100.00%,1668
2023-06-15,$4.54,17.46,2045,85.67%,1752,14.84%,260,1.54%,4,2045,85.67%,1752,100.00%,1752
2023-06-16,$4.20,19.44,1681,95.12%,1599,13.51%,216,6.02%,13,1681,95.12%,1599,100.00%,1599
2023-06-17,$2.07,7.34,1838,85.58%,1573,17.93%,282,2.84%,8,1838,85.58%,1573,100.00%,1573
2023-06-18,$24.66,50.85,3472,87.99%,3055,15.88%,485,2.27%,11,3472,87.99%,3055,100.00%,3055
2023-06-19,$73.88,87.13,6777,96.19%,6519,13.01%,848,4.72%,40,6777,96.19%,6519,100.00%,6519
2023-06-20,$71.24,90.75,6036,95.10%,5740,13.68%,785,4.71%,37,6036,95.10%,5740,100.00%,5740
2023-06-21,$49.40,111.75,3518,99.40%,3497,12.64%,442,1.58%,7,3518,99.40%,3497,100.00%,3497
2023-06-22,$38.11,78.09,3543,97.74%,3463,14.09%,488,4.10%,20,3543,97.74%,3463,100.00%,3463
2023-06-23,$25.89,68.31,3799,98.53%,3743,10.13%,379,2.37%,9,3799,98.53%,3743,100.00%,3743
2023-06-24,$25.94,60.05,3000,95.60%,2868,15.06%,432,4.17%,18,3000,95.60%,2868,100.00%,2868
2023-06-25,$16.42,54.92,2553,99.10%,2530,11.82%,299,3.01%,9,2553,99.10%,2530,100.00%,2530
